provider_id,agency_name,street_address,city,state,zip_code,total_episodes_non_lupa,distinct_beneficiaries_non_lupa,average_number_of_total_visits_per_episode_non_lupa,average_number_of_skilled_nursing_visits_per_episode_non_lupa,average_number_of_pt_visits_per_episode_non_lupa,average_number_of_ot_visits_per_episode_non_lupa,average_number_of_st_visits_per_episode_non_lupa,average_number_of_home_health_aide_visits_per_episode_non_lupa,average_number_of_medical_social_visits_per_episode_non_lupa,total_hha_charge_amount_non_lupa,total_hha_medicare_payment_amount_non_lupa,total_hha_medicare_standard_payment_amount_non_lupa,outlier_payments_as_a_percent_of_medicare_payment_amount_non_lupa,total_lupa_episodes,total_hha_medicare_payment_amount_for_lupas,average_age,male_beneficiaries,female_beneficiaries,nondual_beneficiaries,dua_beneficiaries,white_beneficiaries,black_beneficiaries,asian_pacific_islander_beneficiaries,hispanic_beneficiaries,american_indian_or_alaska_native_beneficiaries,other_unknown_beneficiaries,average_hcc_score,percent_of_beneficiaries_with_atrial_fibrillation,percent_of_beneficiaries_with_alzheimers,percent_of_beneficiaries_with_asthma,percent_of_beneficiaries_with_cancer,percent_of_beneficiaries_with_chf,percent_of_beneficiaries_with_chronic_kidney_disease,percent_of_beneficiaries_with_copd,percent_of_beneficiaries_with_depression,percent_of_beneficiaries_with_diabetes,percent_of_beneficiaries_with_hyperlipidemia,percent_of_beneficiaries_with_hypertension,percent_of_beneficiaries_with_ihd,percent_of_beneficiaries_with_osteoporosis,percent_of_beneficiaries_with_ra_oa,percent_of_beneficiaries_with_schizophrenia,percent_of_beneficiaries_with_stroke
147785,"GUARDIAN HOME HEALTH CARE, LLC","181 WAUKEGAN RD, STE 301",NORTHFIELD,IL,60093,1338,977,20.4,7.6,9.3,1.5,0.3,1.8,0.0,3914240,4731970,4619387,0.2,121,43546,81,309,668,882,95,896,29,17,23,,,1.81,25,27,10,16,35,35,20,31,32,65,,47,20,71,8,9
148233,"MEDI LINK HEALTH SERVICES, LLC","1701 E WOODFIELD RD, STE 403",SCHAUMBURG,IL,60173,666,336,14.3,7.5,4.9,1.3,0.1,0.6,0.0,1192413,2073939,2038186,0.0,44,17849,81,115,221,270,66,274,26,21,11,,,2.16,28,33,16,14,52,49,30,43,41,71,,59,15,,7,11
147814,ADVANCARE HEALTHCARE SERVICES,2625 BUTTERFIELD RD SUIT 304 S,OAK BROOK,IL,60523,1651,764,17.9,5.7,10.6,1.0,0.2,0.4,0.0,3869290,6268441,6159092,0.0,85,31398,83,237,527,593,171,449,274,16,20,,,2.01,18,51,10,16,44,43,23,39,39,59,,47,22,,11,10
227068,VNA OF BOSTON,"500 RUTHERFORD AVENUE, SUITE 101",CHARLESTOWN,MA,2129,7127,4244,15.8,8.3,4.3,1.3,0.1,1.9,0.0,20991019,24386328,20934122,0.2,751,316585,77,1597,2647,2196,2048,2362,1288,118,378,,,2.28,20,27,19,16,42,51,26,42,48,62,,54,18,53,8,10
217121,COMMUNITY HOME HEALTH OF MD,"10999 RED RUN BLVD, SUITE 100",OWINGS MILLS,MD,21117,2416,2008,15.8,6.1,6.7,2.1,0.2,0.7,0.0,6188198,7579946,7693585,0.1,321,126947,76,797,1211,1565,443,1258,682,35,19,,,2.18,23,30,13,16,40,47,29,34,44,65,,52,14,56,9,15
217084,POTOMAC HOME HEALTH CARE,6001 MONTROSE ROAD  301,ROCKVILLE,MD,20852,2401,2000,14.1,3.6,8.4,0.8,0.2,1.0,0.0,5057793,7608468,7493265,0.1,550,232098,80,723,1277,1878,122,1656,159,67,68,,,1.46,20,29,9,17,26,31,16,31,25,62,,38,15,64,7,9
297159,PATIENT CARE HOME HEALTH SERVICES,6849-A CHARLESTON BLVD,LAS VEGAS,NV,89117,1053,537,17.1,11.5,2.4,0.7,0.0,2.4,0.0,2372414,2942064,2550016,4.2,31,13485,73,219,318,358,179,305,67,49,100,,,2.14,20,26,15,15,39,48,37,31,53,72,,56,13,53,5,12
337290,"AMERICARE CERTIFIED SPECIAL SERVICES, INC CHHA",5923 STRICKLAND AVENUE,BROOKLYN,NY,11234,3083,2278,32.4,15.3,4.4,0.7,0.1,12.1,0.0,11951109,12999949,9663242,9.2,345,161057,80,766,1512,566,1712,928,364,534,382,,,2.51,21,47,19,13,53,46,26,36,64,73,,72,20,60,10,18
337425,"PREMIER HOME HEALTH CARE SERVICES, INC","50 COURT STREET,  11TH FLOOR",BROOKLYN,NY,11201,178,148,17.4,11.3,3.7,0.0,0.0,2.4,0.0,559679,603200,474177,6.7,56,19803,83,44,104,35,113,76,24,16,26,,,2.68,18,48,19,9,58,41,27,38,66,70,,75,19,63,5,18
397005,VNA OF GREATER PHILADELPHIA,"FALLS CENTER, 3300 HENRY AVENUE, SUITE 500",PHILADELPHIA,PA,19129,3232,1962,15.7,9.9,3.8,0.5,0.2,1.3,0.0,14827012,9387633,8909755,0.4,371,142181,73,794,1168,972,990,606,1130,41,162,,,2.66,17,29,15,15,46,54,27,35,55,60,,54,10,52,9,15
397603,MILLENIUM HOME HEALTH CARE INC,"370 REED ROAD, SUITE 319",BROOMALL,PA,19008,1491,1159,17.7,7.2,6.9,3.1,0.2,0.2,0.0,4190174,5484876,5224435,0.0,135,48566,78,450,709,820,339,747,367,17,21,,,2.58,24,43,13,14,46,51,29,43,48,65,,58,17,57,12,20
747640,ANGELS OF CARE HOME HEALTH INCORPORATED,12200 FORD ROAD SUITE 350,DALLAS,TX,75234,351,113,11.0,8.8,1.5,0.1,0.0,0.5,0.0,616860,771527,779106,2.1,14,5381,67,35,78,19,94,12,46,28,25,,,1.93,4,54,27,4,40,35,27,47,62,74,,49,15,74,11,7
457980,JK HOME HEALTH SERVICE,609 NORTH EBRITE STREET  SUITE 103,MESQUITE,TX,75149,301,106,12.0,8.6,1.3,0.1,0.0,2.0,0.0,702595,636621,655197,0.1,12,4146,71,41,65,35,71,30,35,24,15,,,2.57,8,34,16,11,48,50,26,44,56,70,,59,8,,12,16
679543,ULTIMATE HOME HEALTH CARE,4402 BROADWAY BLVD SUITE 14,GARLAND,TX,75043,549,142,15.8,11.3,1.2,0.2,0.0,3.0,0.0,1301605,1411294,1360811,6.3,14,5341,71,47,95,30,112,36,47,29,26,,,2.24,9,43,20,6,46,44,30,35,62,70,,50,23,,6,11
679749,THE PROVIDENCE HOME HEALTH SERVICES INC,11420 DAIRY ASHFORD RD SUITE #108,SUGAR LAND,TX,77478,810,324,17.1,8.4,5.0,0.3,0.2,3.2,0.0,1913848,2212033,2263184,0.0,55,18773,76,119,205,197,127,143,99,30,51,,,2.6,15,41,12,9,53,54,31,39,62,70,,71,14,69,11,17
453195,DELTACARE HOME HEALTH SERVICE LLC,2608 TEXAS DRIVE,IRVING,TX,75062,693,201,22.9,14.5,2.7,0.6,0.0,5.1,0.0,2232888,1995622,1872870,8.9,21,6583,76,59,142,99,102,99,29,33,38,,,2.31,17,40,14,10,44,51,22,39,57,68,,51,17,68,8,7
457222,GIRLING HOME HEALTH TEXAS BY HARDEN HEALTHCARE,6700 WEST LOOP SOUTH SUITE 200,BELLAIRE,TX,77401,1846,931,16.7,7.5,6.7,1.5,0.4,0.7,0.0,5690977,5945846,6174014,1.9,254,87993,77,300,631,564,367,526,239,18,138,,,2.76,19,37,9,12,47,50,31,36,52,62,,63,14,58,9,14
679407,THERACARE HOME HEALTH,697 SOUTH STEMMONS FWY,LEWISVILLE,TX,75067,891,700,18.2,4.7,8.7,3.2,0.7,0.8,0.0,3574375,3371405,3497326,0.0,78,27481,77,258,442,600,100,570,76,17,31,,,2.06,24,35,16,16,43,46,32,47,46,73,,53,20,68,8,18
677574,ULTRA HOME HEALTH CARE INC,8303 SW FREEWAY SUITE 410,HOUSTON,TX,77074,275,171,16.0,9.4,5.7,0.0,0.0,0.9,0.0,658933,741009,757130,0.0,13,5612,78,61,110,28,143,13,13,133,11,,,2.09,11,40,18,8,31,47,21,21,60,,,52,32,63,5,8
457978,OPTIMUM HOME HEALTH CARE INC,5501 INDEPENDENCE PKWY SUITE 304,PLANO,TX,75023,583,170,22.1,10.1,5.5,1.0,0.1,5.4,0.0,2536529,1764136,1771881,4.2,15,3690,79,47,123,114,56,119,18,18,13,,,2.27,18,35,19,10,43,41,24,51,40,74,,52,18,61,9,14
497008,INOVA VNA HOME HEALTH,9900 MAIN STREET,FAIRFAX,VA,22031,4464,3726,13.6,5.5,5.9,1.3,0.2,0.7,0.0,13861821,13227259,13004525,0.1,751,314838,77,1551,2175,3212,514,2828,388,265,158,,,1.73,23,20,15,17,34,43,22,24,37,71,,47,12,60,4,13
497480,CAPITAL HOME HEALTH CARE INC,"211 GIBSON STREET, NW, SUITE 207",LEESBURG,VA,20176,850,544,16.7,3.6,8.8,2.8,0.4,1.0,0.0,2510504,3167949,3146861,0.1,81,31103,77,247,297,483,61,447,36,36,15,,,1.93,24,30,14,16,36,44,19,35,42,62,,48,12,52,5,15
497559,"CAREGIVERS HOME HEALTH SERVICES, INC","431 PARK AVENUE, SUITE 300",FALLS CHURCH,VA,22046,954,672,18.9,8.3,7.1,1.0,0.2,2.3,0.0,3096299,3099163,3010539,0.4,185,77069,77,273,399,575,97,522,54,31,50,,,1.82,23,22,13,19,31,39,18,24,33,63,,41,11,58,5,13
497636,"PAVILION MEDICAL HOME CARE & STAFFING, LLC","4115 ANNANDALE ROAD, SUITE 202",ANNANDALE,VA,22003,759,560,18.2,4.8,9.3,3.0,0.4,0.6,0.0,2444337,2930184,2912824,0.0,72,28275,79,224,336,474,86,419,73,36,21,,,1.95,16,42,12,12,34,41,22,33,37,60,,62,16,56,9,14
497638,REVIVAL HOMECARE AGENCY,"6606 LEESBURG PIKE, SUITE 630A",FALLS CHURCH,VA,22041,589,368,17.5,5.6,10.1,0.4,0.1,1.3,0.0,1732089,2063408,2023694,0.2,45,17583,79,156,212,290,78,240,71,25,28,,,1.85,16,37,9,14,30,39,20,30,38,62,,46,14,46,6,9
497588,"GENESYS HOME HEALTH CARE, INC","6363 CENTER DRIVE, SUITE 201",NORFOLK,VA,23502,436,213,17.4,9.7,4.5,0.1,0.1,3.0,0.0,1333306,1146851,1226962,1.6,27,10041,79,93,120,144,69,125,58,17,,,,2.33,31,50,9,12,53,54,34,38,54,68,,55,17,55,7,21
497568,ESPRIT HOMECARE,"5881 LEESBURG PIKE, SUITE 202",FALLS CHURCH,VA,22041,336,195,19.7,5.3,10.4,2.1,0.4,1.5,0.0,952418,1270223,1260651,0.2,27,10718,80,63,132,118,77,108,28,32,17,,,2.02,16,41,16,8,30,33,15,32,42,63,,63,14,72,6,12
497656,PRO HEALTHCARE SERVICING LLC,10807 MAIN ST SUITE 700,FAIRFAX,VA,22030,1511,1010,18.8,5.0,11.1,2.1,0.2,1.2,0.0,4473486,5603272,5616024,0.2,211,74960,81,356,654,831,179,790,99,46,55,,,1.89,22,50,23,14,36,42,23,46,37,67,,51,15,61,11,15
527083,HORIZON HOME CARE AND HOSPICE,11400 W LAKE PARK DRIVE,MILWAUKEE,WI,53224,3062,2155,21.5,12.6,3.8,1.4,0.2,3.6,0.0,11931928,9928442,9269420,9.0,835,300840,76,818,1337,1539,616,1627,440,23,42,,,2.53,23,26,17,16,45,54,26,36,44,67,,50,19,55,9,9
59465,"TOTAL CARE HOME HEALTH CARE, INC","105 WEST ALAMEDA AVE, SUITE 218",BURBANK,CA,91502,686,410,16.8,11.6,4.7,0.1,0.0,0.4,0.0,1540789,2496205,2042242,4.7,26,9608,73,182,228,27,383,189,75,23,99,0,24,1.89,8,29,21,8,41,30,38,54,63,,,74,23,,13,7
59331,ACCESS HOME HEALTH CARE LLC,"600 HAMPSHIRE ROAD, #208",WESTLAKE VILLAGE,CA,91361,408,185,16.7,10.0,2.1,0.2,0.1,4.4,0.0,936714,1259856,1009697,2.0,25,10058,80,70,115,71,114,135,,29,,0,12,2.23,22,40,11,17,53,50,28,54,55,,,66,24,74,7,10
127025,PRIME CARE SERVICES HAWAII INC,"3375 KOAPAKA STREET, SUITE I-570",HONOLULU,HI,96819,171,160,10.8,2.5,6.8,0.6,0.0,0.8,0.0,301515,572098,493213,0.0,45,21446,82,65,95,126,34,19,,115,,0,19,2.42,16,52,13,12,38,49,22,16,44,,,51,33,39,3,26
147726,GIRLING HOME HEALTH,7222 W CERMAK RD,NORTH RIVERSIDE,IL,60546,2102,1770,14.9,6.2,7.6,0.6,0.2,0.3,0.0,5825258,6676547,6584460,0.1,169,73975,75,662,1108,1482,288,1356,246,36,107,0,25,1.66,19,17,12,16,29,35,21,28,34,66,,42,16,,5,8
147569,APPLE HOME HEALTHCARE,"223 W JACKSON BLVD, STE 510",CHICAGO,IL,60606,1742,1287,15.6,6.8,6.7,1.5,0.1,0.4,0.0,4919650,5321424,5226553,0.3,185,72223,78,439,848,1035,252,981,205,23,61,0,17,1.7,17,28,9,13,30,35,16,31,32,60,,43,14,71,9,10
147756,"ELITE HOME HEALTH CARE, INC",330 MELVIN DRIVE #3,NORTHBROOK,IL,60062,1901,719,15.0,10.8,3.0,0.0,0.1,1.2,0.0,4890695,5518207,5395674,0.0,48,15515,79,276,443,302,417,558,62,29,41,0,29,2.12,22,31,8,13,65,41,31,44,48,66,,,22,,8,9
337213,PARKER JEWISH INST FOR HEALTH CARE & REHAB CHHA,"1 DELAWARE DRIVE,  SUITE 104",NEW HYDE PARK,NY,11042,369,341,23.9,5.2,6.3,0.6,0.5,11.3,0.0,1145166,1311180,1070697,1.4,20,11579,82,124,217,204,137,234,48,31,16,0,12,2.54,28,45,24,19,59,46,26,49,61,,,,21,66,5,20
398110,AURORA HOME CARE INC,518 BUSTLETON PIKE UNIT D,FEASTERVILLE,PA,19053,311,225,28.1,9.8,8.2,0.4,0.1,9.7,0.0,1319091,1092736,1038015,0.2,17,5476,76,76,149,48,177,80,44,76,13,0,12,2.31,18,28,18,12,47,49,20,35,54,,,65,12,66,5,14
397472,SOUTHEASTERN HEALTH SERVICES OF PA,"1501 GRUNDY LANE, SUITE 100",BRISTOL,PA,19007,3880,2369,24.7,10.7,7.5,4.4,0.7,1.4,0.0,19522557,15586295,15062095,0.7,348,120403,84,857,1512,2151,218,2169,148,18,20,0,14,2.1,28,54,9,15,44,43,26,53,36,62,,62,19,64,12,19
743191,LUCENT HOME HEALTH LLC,1485 RICHARDSON DRIVE SUITE 135,RICHARDSON,TX,75080,1350,345,12.6,8.8,1.8,0.4,0.1,1.5,0.0,2134634,3044280,3102806,1.2,62,18871,77,138,207,71,274,130,26,125,52,0,12,1.84,10,40,19,8,36,30,19,48,51,,,62,21,,4,6
497616,"ORTHOCARERN, INC","441-B CARLISLE DRIVE, SUITE 100",HERNDON,VA,20170,639,573,17.4,2.9,10.9,3.2,0.1,0.3,0.0,1987301,2381642,2358768,0.0,34,14377,75,222,351,543,30,442,54,28,27,0,22,1.07,11,11,14,13,16,25,13,26,23,65,,25,9,,3,6
497245,BON SECOURS HOME CARE,485 RODMAN AVENUE,PORTSMOUTH,VA,23707,2327,1889,15.5,5.6,6.8,1.8,0.5,0.9,0.0,6689111,6956277,7554484,0.2,412,150577,76,694,1195,1599,290,1293,543,18,19,0,16,1.78,19,24,14,18,37,42,27,30,43,70,,43,17,70,5,13
497587,NATIONAL HOME HEALTH CARE INC,"459 HERNDON PARKWAY, SUITE 17",HERNDON,VA,20170,1236,902,21.0,5.4,8.8,4.3,0.6,1.8,0.0,4028116,4658157,4535161,0.2,193,69742,78,318,584,659,243,625,118,77,59,0,23,1.86,21,35,15,13,32,39,21,36,40,64,,46,17,59,7,15
497593,LIVINRITE HOME HEALTH SERVICES,"12269 LIVINGSTON RD, SUITE 201",MANASSAS,VA,20109,1971,1137,23.3,8.1,8.6,3.1,1.1,2.6,0.0,7885595,7876887,7839012,0.1,104,40107,78,433,704,962,175,930,127,29,30,0,21,2.17,22,36,12,14,38,45,27,39,43,63,,47,14,55,7,14
